61	2018-02-03 23:40:21.7587430	Feed      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	奶瓶:15mL	Active    
121	2018-02-06 08:05:00.0000000	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从07:00到08:05，睡了1小时5分钟	Active    
126	2018-02-06 12:00:00.0000000	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:50mL	Active    
135	2018-02-06 19:48:38.9358650	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:120mL	Active    
136	2018-02-06 21:18:00.0000000	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:40mL	Active    
142	2018-02-07 07:48:15.6322140	WakeUp    	ocgSc0cpvPB5V7KPdcBSdu0VQvXQ	从05:42到07:48，睡了2小时5分钟	Active    
150	2018-02-07 12:53:47.2889550	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:130mL	Active    
165	2018-02-07 23:11:34.9977680	Poop      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	萝卜拉屎了	Deleted   
166	2018-02-07 23:11:42.2383070	Poop      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	萝卜又拉屎了	Deleted   
167	2018-02-07 23:11:51.8554650	Poop      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	拉屎了	Deleted   
172	2018-02-08 09:00:00.0000000	Poop      	ocgSc0eChTDEABMBHJ_urv4lMeCE	九点大便了	Active    
173	2018-02-08 12:20:00.0000000	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从10:00到12:20，睡了2小时20分钟	Active    
174	2018-02-08 13:05:00.0000000	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:105mL	Active    
175	2018-02-08 13:23:50.1678910	Poop      	ocgSc0eChTDEABMBHJ_urv4lMeCE	大便了	Active    
176	2018-02-08 16:06:48.8472530	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从14:14到16:06，睡了1小时52分钟	Active    
177	2018-02-08 16:20:24.0301510	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:50mL	Active    
178	2018-02-08 17:14:32.0785910	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:18分钟	Active    
181	2018-02-08 18:45:00.0000000	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:5分钟	Active    
182	2018-02-08 18:50:00.0000000	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:20mL	Active    
187	2018-02-09 04:38:25.8982570	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:20分钟	Active    
188	2018-02-09 07:20:00.0000000	WakeUp    	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	从06:20到07:20，睡了0小时59分钟	Active    
189	2018-02-09 08:10:00.0000000	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:50mL	Active    
190	2018-02-09 08:15:00.0000000	Poop      	ocgSc0eChTDEABMBHJ_urv4lMeCE	08:15大便了	Active    
191	2018-02-08 21:00:00.0000000	AD        	ocgSc0eChTDEABMBHJ_urv4lMeCE	晚上九点吃了AD	Active    
192	2018-02-09 10:13:19.3134880	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从09:44到10:13，睡了0小时29分钟	Active    
193	2018-02-09 10:23:01.4255050	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:9分钟	Active    
194	2018-02-09 11:35:28.3263770	WakeUp    	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	从10:23到11:35，睡了1小时12分钟	Active    
197	2018-02-09 13:30:00.0000000	Poop      	ocgSc0eChTDEABMBHJ_urv4lMeCE	一点半拉屎了	Active    
198	2018-02-09 13:55:32.9993360	Bath      	ocgSc0eChTDEABMBHJ_urv4lMeCE	洗澡了	Active    
205	2018-02-09 18:59:25.7839810	WakeUp    	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	从17:13到18:59，睡了1小时46分钟	Active    
207	2018-02-09 20:44:47.7062690	Notes     	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	，爸爸数次想抱萝卜哄睡均以失败告终，萝卜非常敏感，抱上就哭，妈妈抱就没事儿	Active    
211	2018-02-10 05:19:27.5343420	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从23:58到05:19，睡了5小时21分钟	Active    
212	2018-02-10 05:37:14.6303890	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:16分钟	Active    
213	2018-02-10 06:34:42.4179390	Poop      	ocgSc0cpvPB5V7KPdcBSdu0VQvXQ	大便了	Active    
216	2018-02-10 10:08:07.5472450	AD        	ocgSc0eChTDEABMBHJ_urv4lMeCE	AD	Active    
219	2018-02-10 11:55:46.8430760	Feed      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	奶瓶:30mL	Active    
221	2018-02-10 14:00:44.9798790	WakeUp    	ocgSc0cpvPB5V7KPdcBSdu0VQvXQ	从13:23到14:00，睡了0小时37分钟	Deleted   
222	2018-02-10 14:01:07.4986500	WakeUp    	ocgSc0cpvPB5V7KPdcBSdu0VQvXQ	从13:23到14:01，睡了0小时37分钟	Deleted   
223	2018-02-10 14:01:21.7252440	WakeUp    	ocgSc0cpvPB5V7KPdcBSdu0VQvXQ	从13:23到14:01，睡了0小时38分钟	Deleted   
62	2018-02-03 13:30:00.0000000	Bath      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	一点半洗澡了	Active    
63	2018-02-03 12:25:00.0000000	Feed      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	奶瓶:120mL	Active    
64	2018-02-03 14:00:00.0000000	Feed      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	母乳:10分钟	Active    
65	2018-02-03 16:20:00.0000000	Feed      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	母乳:8分钟	Active    
66	2018-02-03 18:20:00.0000000	Feed      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	奶瓶:70mL	Active    
67	2018-02-03 19:00:00.0000000	Poop      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	七点拉屎了	Active    
75	2018-02-04 13:16:49.9792380	Notes     	ocgSc0eChTDEABMBHJ_urv4lMeCE	今天小萝卜不肯好好吃奶	Active    
108	2018-02-05 19:40:05.1794740	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从19:15到19:40，睡了0.42小时	Active    
179	2018-02-08 18:11:14.9697500	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:12分钟	Active    
199	2018-02-09 14:32:24.1545420	Feed      	ocgSc0cpvPB5V7KPdcBSdu0VQvXQ	奶瓶:70mL	Active    
231	2018-02-10 18:37:55.3027510	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:65mL	Active    
232	2018-02-10 18:38:02.2079580	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:5分钟	Active    
234	2018-02-10 21:06:51.1296150	Feed      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	奶瓶:75mL	Active    
235	2018-02-10 21:07:00.9586070	Poop      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	大便	Active    
236	2018-02-10 22:31:12.0996460	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从18:38到22:31，睡了3小时52分钟	Deleted   
237	2018-02-10 22:31:45.9118030	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从18:38到22:31，睡了3小时53分钟	Deleted   
238	2018-02-10 22:33:18.6322750	WakeUp    	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	从18:38到22:33，睡了3小时55分钟	Deleted   
239	2018-02-10 22:34:52.3703910	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从21:40到22:34，睡了0小时54分钟	Active    
242	2018-02-11 04:27:07.5359590	WakeUp    	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	从23:35到04:27，睡了4小时52分钟	Active    
248	2018-02-11 10:01:23.3873700	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:10分钟	Active    
250	2018-02-11 12:17:00.0000000	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从10:01到12:17，睡了2小时16分钟	Active    
251	2018-02-11 12:30:00.0000000	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:100mL	Active    
252	2018-02-11 13:10:00.0000000	Poop      	ocgSc0eChTDEABMBHJ_urv4lMeCE	01:10大便了	Active    
253	2018-02-11 13:35:00.0000000	Bath      	ocgSc0eChTDEABMBHJ_urv4lMeCE	01:35洗澡	Active    
258	2018-02-11 14:55:19.4820140	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:5分钟	Active    
259	2018-02-11 14:58:45.7124300	Poop      	ocgSc0eChTDEABMBHJ_urv4lMeCE	大便了	Active    
260	2018-02-11 15:21:27.7880620	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:5分钟	Active    
261	2018-02-11 16:50:00.0000000	WakeUp    	ocgSc0cpvPB5V7KPdcBSdu0VQvXQ	从14:20到16:50，睡了2小时29分钟	Deleted   
262	2018-02-11 16:50:00.0000000	WakeUp    	ocgSc0cpvPB5V7KPdcBSdu0VQvXQ	从16:30到16:50，睡了0小时20分钟	Active    
263	2018-02-11 17:26:02.4246150	Feed      	ocgSc0cpvPB5V7KPdcBSdu0VQvXQ	奶瓶:80mL	Active    
264	2018-02-11 18:25:08.5977030	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:13分钟	Active    
266	2018-02-11 20:30:00.0000000	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:105mL	Active    
267	2018-02-11 22:20:00.0000000	WakeUp    	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	从20:30到22:20，睡了1小时50分钟	Active    
271	2018-02-12 03:27:53.9286090	Poop      	ocgSc0eChTDEABMBHJ_urv4lMeCE	拉屎了	Active    
273	2018-02-12 06:36:37.6426030	WakeUp    	ocgSc0cpvPB5V7KPdcBSdu0VQvXQ	从04:15到06:36，睡了2小时21分钟	Active    
274	2018-02-12 07:19:03.3375640	Feed      	ocgSc0cpvPB5V7KPdcBSdu0VQvXQ	奶瓶:85mL	Active    
277	2018-02-12 09:48:01.0271740	Poop      	ocgSc0eChTDEABMBHJ_urv4lMeCE	大便了	Active    
278	2018-02-12 09:36:00.0000000	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:5分钟	Active    
279	2018-02-12 09:40:00.0000000	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:25mL	Active    
280	2018-02-12 10:54:02.3568850	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:5分钟	Active    
281	2018-02-12 12:35:00.0000000	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从10:54到12:35，睡了1小时40分钟	Deleted   
282	2018-02-12 12:46:42.2966640	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:120mL	Deleted   
283	2018-02-12 12:25:00.0000000	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从10:54到12:25，睡了1小时30分钟	Active    
284	2018-02-12 12:46:00.0000000	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:120mL	Active    
285	2018-02-12 14:28:42.7052390	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从12:46到14:28，睡了1小时42分钟	Active    
289	2018-02-12 15:35:22.3266190	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:75mL	Active    
290	2018-02-12 17:15:00.0000000	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从16:45到17:15，睡了0小时30分钟	Active    
86	2018-02-04 20:51:40.7976550	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:90mL	Active    
89	2018-02-04 22:45:39.6876850	WakeUp    	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	从22:25到22:45，睡了0.00小时	Deleted   
105	2018-02-05 17:37:42.2057330	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从16:40到17:37，睡了0.96小时	Active    
131	2018-02-06 15:18:44.7325130	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:30mL	Active    
137	2018-02-06 21:41:39.3140210	Notes     	ocgSc0eChTDEABMBHJ_urv4lMeCE	 高阿姨今天回家了。我们会十分想念她。	Active    
141	2018-02-07 05:36:50.1325540	Feed      	ocgSc0cpvPB5V7KPdcBSdu0VQvXQ	奶瓶:130mL	Active    
149	2018-02-07 12:39:57.3835390	WakeUp    	ocgSc0cpvPB5V7KPdcBSdu0VQvXQ	从09:48到12:39，睡了2小时51分钟	Active    
154	2018-02-07 17:13:50.4393700	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:110mL	Active    
159	2018-02-07 18:38:00.0000000	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从18:19到18:38，睡了0小时18分钟	Active    
160	2018-02-07 18:51:21.0314590	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:5分钟	Active    
168	2018-02-08 05:45:00.0000000	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从23:50到05:45，睡了5小时55分钟	Active    
169	2018-02-08 06:04:43.0582100	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:15分钟	Active    
171	2018-02-08 08:30:00.0000000	Feed      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	奶瓶:50mL	Active    
226	2018-02-10 14:40:00.0000000	Feed      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	母乳:20分钟	Active    
227	2018-02-10 14:50:00.0000000	Poop      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	02:50大便	Active    
230	2018-02-10 16:40:00.0000000	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从16:00到16:40，睡了0小时40分钟	Active    
233	2018-02-10 20:37:30.9391230	WakeUp    	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	从18:38到20:37，睡了1小时59分钟	Active    
257	2018-02-11 14:48:54.0869920	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从14:20到14:48，睡了0小时28分钟	Active    
270	2018-02-12 03:03:56.3821600	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:10分钟	Active    
272	2018-02-12 03:53:34.9267620	Notes     	ocgSc0eChTDEABMBHJ_urv4lMeCE	 萝卜昨晚睡得太早，今天很早就醒了，不肯睡，在那里咿咿呀呀说话说得热闹。爸爸哄了半天也没有用。妈妈嗓子不舒服，喝了四杯水都没有好转。最后奶奶起来把他抱出去了。	Active    
275	2018-02-12 04:00:00.0000000	Poop      	ocgSc0eChTDEABMBHJ_urv4lMeCE	四点大便了	Active    
276	2018-02-12 09:27:36.1374490	WakeUp    	ocgSc0cpvPB5V7KPdcBSdu0VQvXQ	从08:25到09:27，睡了1小时2分钟	Active    
291	2018-02-12 17:41:19.9283790	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:25分钟	Active    
292	2018-02-12 17:50:00.0000000	Poop      	ocgSc0eChTDEABMBHJ_urv4lMeCE	05:50大便了	Active    
293	2018-02-12 20:33:22.6664060	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从19:40到20:33，睡了0小时53分钟	Active    
297	2018-02-13 03:59:15.2203000	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从22:31到03:59，睡了5小时27分钟	Active    
298	2018-02-13 04:27:22.8662330	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:20分钟	Active    
299	2018-02-13 06:18:41.8217150	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从04:27到06:18，睡了1小时50分钟	Active    
300	2018-02-13 06:25:44.4345100	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:3分钟	Active    
301	2018-02-13 06:37:52.5544360	Poop      	ocgSc0eChTDEABMBHJ_urv4lMeCE	大便了	Active    
302	2018-02-13 08:05:06.4904950	Feed      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	奶瓶:120mL	Active    
303	2018-02-13 09:54:52.3424050	Notes     	ocgSc0eChTDEABMBHJ_urv4lMeCE	 今天去体检了。身高64厘米，体重穿着棉袄6.4千克。身高中等偏上，体重中等。还注射了白百破疫苗。	Active    
304	2018-02-13 10:24:26.5308060	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从09:45到10:24，睡了0小时39分钟	Active    
307	2018-02-13 13:33:31.8629650	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从11:54到13:33，睡了1小时38分钟	Active    
308	2018-02-13 13:48:47.3185330	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:130mL	Active    
309	2018-02-13 13:48:47.7237120	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:130mL	Deleted   
311	2018-02-13 16:56:29.6438520	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:130mL	Active    
313	2018-02-13 18:57:15.2815490	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从18:27到18:57，睡了0小时30分钟	Active    
314	2018-02-13 19:05:47.0659860	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:6分钟	Active    
317	2018-02-13 23:49:32.9733380	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从21:05到23:49，睡了2小时44分钟	Active    
318	2018-02-14 00:05:24.8109510	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:130mL	Active    
319	2018-02-14 00:14:03.9816940	Poop      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	大便了	Active    
320	2018-02-14 04:39:17.6181310	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从00:22到04:39，睡了4小时17分钟	Active    
321	2018-02-14 04:54:44.1030740	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:15分钟	Active    
324	2018-02-14 08:59:26.4086570	Poop      	ocgSc0eChTDEABMBHJ_urv4lMeCE	大便了	Active    
60	2018-02-03 23:10:09.8513670	Feed      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	母乳:10分钟	Active    
92	2018-02-05 03:31:48.5646820	Poop      	ocgSc0eChTDEABMBHJ_urv4lMeCE	大便了	Active    
107	2018-02-05 18:08:52.1348080	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:90mL	Active    
112	2018-02-05 21:05:48.6778890	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从20:30到21:05，睡了0.5833333333333334小时35分钟	Deleted   
170	2018-02-08 08:10:00.0000000	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从07:18到08:10，睡了0小时51分钟	Active    
269	2018-02-12 02:51:54.6554010	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从23:05到02:51，睡了3小时46分钟	Active    
287	2018-02-12 14:45:00.0000000	AD        	ocgSc0eChTDEABMBHJ_urv4lMeCE	14:45吃了a ad	Active    
288	2018-02-12 15:14:20.8011070	Bath      	ocgSc0eChTDEABMBHJ_urv4lMeCE	洗澡了	Active    
325	2018-02-14 08:30:00.0000000	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从07:15到08:30，睡了1小时15分钟	Active    
328	2018-02-14 12:20:00.0000000	WakeUp    	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	从10:42到12:20，睡了1小时37分钟	Active    
329	2018-02-14 12:30:00.0000000	Feed      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	奶瓶:90mL	Active    
